"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"65262",5.39046666666667,"Jose Iglesias","DET","SS",24,0.625,1,0,0,0.428571428571429,0.571428571428571,0.684563758389262
"65263",8.404,"Victor Martinez","DET","DH",9,1.375,0,1,0.5,0.733333333333333,0.538461538461538,0.752
"65264",13.1723,"Nicholas Castellanos","DET","RF",0,1.22222222222222,0,0,0,0.772727272727273,0.766666666666667,0.80188679245283
"65265",10.2068666666667,"Dixon Machado","DET","2B",8,0.888888888888889,0,1,0,0.75,0.333333333333333,0.691176470588235
"65266",7.46263333333333,"James McCann","DET","C",7,0.666666666666667,0,1,0,0.7,0.5,0.706422018348624
"65268",8.39450000000001,"Jeimer Candelario","DET","3B",26,1.22222222222222,0,2,0,0.764705882352941,0.666666666666667,0.789473684210526
"65269",10.2997666666667,"JaCoby Jones","DET","LF",10,0.25,2,0,0,0.571428571428571,0,0.641025641025641
"65271",7.40193333333333,"Ian Kinsler","LAA","2B",3,1.5,2,0,0,0,0.2,0.173611111111111
"65274",7.69133333333333,"Zack Cozart","LAA","3B",3,0.9,0,0,0,0.210526315789474,0.259259259259259,0.186666666666667
"65276",10.7185333333333,"Shohei Ohtani","LAA","DH",0,1,0,1,0,0.0833333333333333,0,0.0833333333333333
"65277",7.02863333333333,"Andrelton Simmons","LAA","SS",11,0.909090909090909,1,1,0.5,0.181818181818182,0.277777777777778,0.281407035175879
"65278",12.3792666666667,"Justin Upton","LAA","LF",0,1.27272727272727,2,3,0,0.142857142857143,0.37037037037037,0.260989010989011
"65279",9.1974,"Mike Trout","LAA","CF",0,1.18181818181818,1,4,0.166666666666667,0.19047619047619,0.260869565217391,0.307228915662651
"65280",7.0435,"Albert Pujols","LAA","1B",0,1.36363636363636,0,2,0.333333333333333,0.217391304347826,0.09375,0.272727272727273
"65286",4.37363333333333,"Jose Martinez","STL","1B",7,1.09090909090909,0,2,0.333333333333333,0.523809523809524,0.136363636363636,0.194690265486726
"65287",4.27333333333333,"Harrison Bader","STL","OF",12,0.444444444444444,1,1,0,0.2,0,0.185185185185185
"65288",8.02316666666667,"Matt Carpenter","STL","3B",0,0.6,0,1,0.5,0.363636363636364,0.148148148148148,0.202797202797203
