,RFPred,Name,HTeam,Pos
59084,5.2845,Ryan Rua,TEX,LF
590761,5.266944444,Sean Rodriguez,PIT,UT
591703,5.237444444,Dixon Machado,DET,2B
59177,5.227111111,Bradley Zimmer,CLE,CF
59022,5.200388889,Miguel MonteroDFA,WSN,C
59076,5.197944444,Sean Rodriguez,PIT,UT
59194,5.136722222,Jose Reyes,NYM,IF
591431,5.116388889,Mikie Mahtook,DET,LF
59006,5.115,Kevin Kiermaier,TBR,CF
59080,5.095555556,Robinson Chirinos,TEX,C
591432,5.085277778,Mikie Mahtook,DET,LF
591702,5.008055556,Dixon Machado,DET,2B
591411,4.9465,Mikie Mahtook,DET,LF
591413,4.944444444,Mikie Mahtook,DET,LF
59168,4.902833333,Victor Reyes,DET,UT
59170,4.837722222,Dixon Machado,DET,2B
590711,4.809055556,Corey Dickerson,PIT,LF
59143,4.786666667,Mikie Mahtook,DET,LF
59175,4.771,Roberto Perez,CLE,C
59141,4.769444444,Mikie Mahtook,DET,LF
590621,4.767666667,Colin Moran,PIT,3B
59157,4.762166667,JaCoby Jones,DET,LF
59212,4.722,Brock Holt,BOS,UT
591581,4.662222222,JaCoby Jones,DET,LF
591412,4.656333333,Mikie Mahtook,DET,LF
59236,4.487,Jose Peraza,CIN,SS
59079,4.446166667,Nomar Mazara,TEX,RF
59179,4.405388889,Tyler Naquin,CLE,RF
591681,4.381,Victor Reyes,DET,UT
59010,4.356111111,Wilson Ramos,TBR,C
591571,4.322333333,JaCoby Jones,DET,LF
59071,4.231277778,Corey Dickerson,PIT,LF
59095,4.221666667,Evan Longoria,SFG,3B
59020,4.209388889,Yadiel Rivera,MIA,UT
59062,4.186,Colin Moran,PIT,3B
59124,4.173,Gift Ngoepe,TOR,UT
591471,4.114388889,Leonys Martin,DET,CF
590721,4.042222222,Corey Dickerson,PIT,LF
59185,3.989555556,Chase Utley,LAD,2B
59000,3.969611111,Logan Morrison,MIN,DH
59100,3.9045,Victor Caratini,CHC,UT
59147,3.844888889,Leonys Martin,DET,CF
59197,3.792944444,Juan Lagares,NYM,CF
590471,3.760444444,Elias Diaz,PIT,C
59072,3.687222222,Corey Dickerson,PIT,LF
59019,3.672944444,Lewis Brinson,MIA,CF
59082,3.652444444,Jurickson Profar,TEX,SS
59119,3.607166667,Devon Travis,TOR,2B
59088,3.606055556,Kelby Tomlinson,SFG,MI
59047,3.588111111,Elias Diaz,PIT,C
59158,3.571,JaCoby Jones,DET,LF
590481,3.548444444,Elias Diaz,PIT,C
591643,3.381555556,Dixon Machado,DET,2B
591642,3.360611111,Dixon Machado,DET,2B
